96|543
60|852
34|2665
82|5989
17|680
34|3066
98|4560
19|717
69|7928
30|5308
65|2920
60|6835
16|8774
6|7664
36|9447
10|5348
68|6714
19|5311
87|8974
44|253
56|5048
50|3345
18|5259
18|621
47|2117
59|5717
83|8326
47|4900
75|9736
21|5728
41|1057
93|7811
89|4143
15|6802
58|8936
33|9007
40|1402
48|1682
51|1161
29|2853
10|1955
81|9761
31|6668
73|1073
55|3469
35|6239
70|4983
65|7774
84|1559
39|3610
2|5053
59|2217
100|7891
1|3997
44|1008
60|4866
79|8091
26|2054
27|8891
95|1178
31|6219
39|8546
64|8722
85|8431
77|1678
84|8819
11|6235
5|1421
35|3222
76|1221
90|1436
48|6139
51|8370
76|8965
99|7039
23|1222
23|6183
49|2591
37|3032
31|1412
66|3566
70|894
94|8836
7|2143
30|7117
75|2617
4|6971
10|8969
20|8252
4|3604
31|4354
13|5507
15|5768
38|4698
20|4290
16|2985
44|8114
76|8665
97|2004
20|5881
11|4003
40|7403
82|982
44|251
41|1651
5|2836
60|1273
54|2555
62|3277
100|8104
10|3086
71|9991
18|6111
86|9499
23|8427
64|3571
5|9652
34|6120
43|584
27|4516
85|8407
23|6330
40|5108
59|208
54|4647
12|3826
3|6283
15|7453
15|656
76|5758
31|3576
47|8013
84|6275
66|4252
54|9687
21|692
14|4017
86|5960
43|2522
51|5859
18|9373
69|1915
53|3708
77|7470
67|9046
41|2695
5|4933
38|4669
20|9074
57|9306
22|8433
61|4504
21|4576
50|6677
36|3810
89|8058
78|8399
84|6301
37|6560
7|6265
49|3809
95|242
38|4018
69|8388
3|999
2|1000
99|8852
90|3016
19|8770
50|7950
23|9188
3|2766
48|1627
1|4165
94|7847
34|3924
86|9586
100|1636
90|4236
65|2050
91|7888
6|4026
50|5114
34|1507
40|6386
16|3925
33|6487
24|7408
99|9532
53|7462
10|9765
8|7878
84|6632
14|3356
72|6686
100|3555
11|7649
9|3614
71|3822
8|2974
59|3873
21|9468
100|7414
45|9737
57|7222
67|7163
12|3368
21|6028
51|7923
85|185
27|4541
90|4459
23|7236
69|3651
19|9331
40|2517
23|1782
28|9599
54|7184
74|1207
84|6741
32|5033
28|5856
52|5905
28|278
14|3027
2|369
58|6633
5|6393
60|2109
29|1163
50|168
38|949
81|1198
66|4090
16|9693
9|780
38|6270
63|9502
41|1268
66|3470
3|987
58|183
75|9660
92|2019
36|243
95|3761
47|1567
23|9401
82|4779
61|4731
97|7355
91|4051
99|4335
39|8082
7|2102
96|364
33|7190
84|4690
84|5888
89|961
52|6431
27|2748
36|1161
39|8182
96|2127
93|5323
44|5048
87|2615
85|2602
85|7669
12|6241
27|2940
90|427
58|3886
10|4575
18|9558
75|4667
58|4309
16|9824
5|127
83|8140
22|4141
98|1140
50|7066
62|8423
54|4664
41|8925
44|5065
75|9045
92|7365
15|7911
32|9104
55|6223
50|3588
93|9554
84|7400
55|1075
49|8069
76|3429
81|1947
21|8868
60|9826
41|2914
84|1604
90|4030
26|7617
68|1066
82|1665
75|618
91|9454
86|5916
71|5
27|2799
91|8687
66|1453
89|5221
21|7735
81|3132
47|8380
5|884
30|8191
17|5859
61|3369
79|5375
68|4138
52|2666
61|4696
95|5980
77|5970
48|5851
2|7232
75|693
79|5096
83|3160
80|777
89|6036
52|1980
4|2088
84|9391
92|8639
24|7122
52|5052
13|5656
74|119
25|7579
49|9480
93|4639
4|3268
16|877
7|8829
43|4191
12|892
98|9201
69|4229
37|1890
60|1426
9|8676
32|2263
37|7085
91|7943
31|3480
18|4835
58|6366
79|9951
45|1605
50|7233
58|8764
61|3557
21|9827
73|254
100|2308
65|5638
76|1766
31|8645
67|6177
10|6013
42|9488
15|1711
90|3395
91|4081
35|3091
96|1962
42|3349
71|8230
28|9798
56|1197
1|6597
67|3837
46|3990
5|2006
8|1583
4|1322
65|7364
55|8000
90|5309
17|8724
7|5157
79|450
56|1621
88|5954
91|7876
45|185
86|2514
68|1873
46|6778
74|2587
36|5477
18|7281
1|8356
95|5897
20|8072
7|4488
32|7937
6|1559
84|4888
70|1052
67|7137
62|3779
89|1500
43|8753
33|5202
87|1287
60|4969
98|7076
82|9405
90|4851
8|8480
21|7412
98|9843
7|1801
20|7055
95|5636
93|1029
4|6721
74|1629
4|2928
42|2740
39|6056
56|9645
77|56
55|662
94|2117
84|6238
6|4937
69|1612
53|6910
60|1608
88|757
77|4485
25|7727
78|3880
55|5167
51|7460
22|5524
26|2863
19|9019
99|7765
87|8857
46|5347
32|3761
85|2007
95|4007
75|4549
62|7244
49|1249
38|169
4|7714
15|7816
77|9102
21|5970
12|350
97|1748
55|5426
74|6110
16|5245
2|7897
54|2921
79|8759
93|7682
49|2962
32|2211
38|2980
68|6987
58|312
48|8820
35|1258
78|3456
48|2131
51|3459
68|1244
1|1803
30|3856
65|479
32|6547
60|8696
66|6001
67|4127
31|6289
97|4301
93|1188
56|7684
82|1754
24|2761
76|5097
1|3671
88|4108
79|7299
82|4370
37|1061
60|1289
35|7178
88|8489
74|2815
57|7779
37|4835
38|315
12|6798
93|6530
21|6960
52|6632
11|604
73|8165
93|9216
3|3719
39|4531
52|8146
17|4775
42|6116
43|8318
68|9969
12|2353
30|9489
58|898
87|5944
53|9382
14|9067
81|733
21|9536
26|3616
50|2846
59|3578
29|8692
21|6060
88|4863
76|9222
49|3748
98|5417
91|1100
29|6946
86|9768
16|5158
97|9926
97|3944
55|664
15|3143
92|8524
94|1935
42|4764
69|5307
92|7077
41|1270
55|9861
75|434
90|5775
21|8258
80|7523
6|8091
70|1209
20|39
6|724
58|6708
76|6739
43|4588
20|4348
11|8418
56|3721
97|2941
74|8901
30|5260
95|1332
95|3792
28|7912
94|4345
67|9739
29|1190
56|8247
25|9184
21|4623
92|7388
14|6108
7|6755
30|3171
81|6507
42|8485
5|1439
25|5129
28|1196
27|5582
91|7489
41|4469
36|8542
21|6458
40|4272
48|6209
41|7324
90|6742
13|9107
45|113
83|8285
54|9620
57|8654
39|1863
68|2068
14|4932
41|8791
79|6302
3|7765
75|6049
72|1069
1|8658
5|3362
53|7634
60|2126
6|425
23|8374
9|4651
17|5515
78|4788
99|4159
73|1111
90|4080
93|8032
81|5772
65|9427
79|1323
5|7555
79|37
43|3098
47|8427
4|451
94|9804
45|3516
4|9963
46|3403
16|5007
62|1407
36|1262
31|6291
41|4626
74|6550
67|39
68|4891
90|8011
2|3180
66|7181
93|3930
12|5348
80|3963
62|9934
84|5541
69|2447
